"country","year","value","published","note","type"
"Afghanistan",2003,8231,"2006",NA,"paved"
"Afghanistan",2003,34789,"2006",NA,"total"
"Afghanistan",2003,26558,"2006",NA,"unpaved"
"Afghanistan",2004,8229,"2007",NA,"paved"
"Afghanistan",2004,34782,"2007",NA,"total"
"Afghanistan",2004,26553,"2007",NA,"unpaved"
"Afghanistan",2006,12350,"2008 to 2018",NA,"paved"
"Afghanistan",2006,42150,"2008 to 2018",NA,"total"
"Afghanistan",2006,29800,"2008 to 2018",NA,"unpaved"
"Afghanistan",2017,17903,"2019 to 2023",NA,"paved"
"Afghanistan",2017,34903,"2019 to 2023",NA,"total"
"Afghanistan",2017,17000,"2019 to 2023",NA,"unpaved"
"Albania",2002,7020,"2006 to 2018",NA,"paved"
"Albania",2002,18000,"2006 to 2018",NA,"total"
"Albania",2002,10980,"2006 to 2018",NA,"unpaved"
"Albania",2018,3945,"2019 to 2023",NA,"total"
"Algeria",1999,71656,"2006",NA,"paved"
"Algeria",1999,104000,"2006",NA,"total"
"Algeria",1999,32344,"2006",NA,"unpaved"
"Algeria",2004,76028,"2007 to 2010",NA,"paved"
"Algeria",2004,76028,"2007 to 2010","includes 645 km of expressways","paved"
"Algeria",2004,108302,"2007 to 2010",NA,"total"
"Algeria",2004,32274,"2007 to 2010",NA,"unpaved"
"Algeria",2008,81732,"2011","includes 645 km of expressways","paved"
"Algeria",2008,111261,"2011",NA,"total"
"Algeria",2008,29529,"2011",NA,"unpaved"
"Algeria",2010,87605,"2012 to 2018","includes 645 km of expressways","paved"
"Algeria",2010,87605,"2012 to 2018",NA,"paved"
"Algeria",2010,113655,"2012 to 2018",NA,"total"
"Algeria",2010,26050,"2012 to 2018",NA,"unpaved"
"Algeria",2015,71656,"2019 to 2023",NA,"paved"
"Algeria",2015,104000,"2019 to 2023",NA,"total"
"Algeria",2015,32344,"2019 to 2023",NA,"unpaved"
"American Samoa",2004,185,"2006 to 2007",NA,"total"
"American Samoa",2007,221,"2008 to 2009",NA,"total"
"American Samoa",2008,241,"2010 to 2019",NA,"total"
"American Samoa",2016,241,"2020 to 2023",NA,"total"
"Andorra",1994,270,"2009",NA,"total"
"Andorra",2008,320,"2010 to 2016",NA,"total"
"Andorra",2015,320,"2017 to 2018",NA,"total"
"Andorra",2019,320,"2019 to 2023",NA,"total"
"Andorra",NA,198,"2006 to 2007",NA,"paved"
"Andorra",NA,269,"2006 to 2007",NA,"total"
"Andorra",NA,270,"2008",NA,"total"
"Andorra",NA,71,"2006 to 2007",NA,"unpaved"
"Angola",2001,5349,"2006 to 2018",NA,"paved"
"Angola",2001,51429,"2006 to 2018",NA,"total"
"Angola",2001,46080,"2006 to 2018",NA,"unpaved"
"Angola",2018,13600,"2019 to 2023",NA,"paved"
"Angola",2018,26000,"2019 to 2023",NA,"total"
"Angola",2018,12400,"2019 to 2023",NA,"unpaved"
"Anguilla",2002,65,"2006",NA,"paved"
"Anguilla",2002,105,"2006",NA,"total"
"Anguilla",2002,40,"2006",NA,"unpaved"
"Anguilla",2004,82,"2007 to 2023",NA,"paved"
"Anguilla",2004,175,"2007 to 2023",NA,"total"
"Anguilla",2004,93,"2007 to 2023",NA,"unpaved"
"Antigua and Barbuda",2002,384,"2006 to 2012",NA,"paved"
"Antigua and Barbuda",2002,1165,"2006 to 2012",NA,"total"
"Antigua and Barbuda",2002,781,"2006 to 2012",NA,"unpaved"
"Antigua and Barbuda",2011,386,"2013 to 2023",NA,"paved"
"Antigua and Barbuda",2011,1170,"2013 to 2023",NA,"total"
"Antigua and Barbuda",2011,784,"2013 to 2023",NA,"unpaved"
"Argentina",2004,68809,"2006 to 2007","including 734 km of expressways","paved"
"Argentina",2004,68809,"2006 to 2007","includes 734 km of expressways","paved"
"Argentina",2004,69412,"2008 to 2018","includes 734 km of expressways","paved"
"Argentina",2004,69412,"2008 to 2018",NA,"paved"
"Argentina",2004,229144,"2006 to 2007",NA,"total"
"Argentina",2004,231374,"2008 to 2018",NA,"total"
"Argentina",2004,160335,"2006 to 2007",NA,"unpaved"
"Argentina",2004,161962,"2008 to 2018",NA,"unpaved"
"Argentina",2017,117616,"2019 to 2023",NA,"paved"
"Argentina",2017,281290,"2019 to 2023",NA,"total"
"Argentina",2017,163674,"2019 to 2023",NA,"unpaved"
"Armenia",2003,7633,"2006 to 2007","includes 1561 km of expressways","paved"
"Armenia",2003,7633,"2006 to 2007",NA,"total"
"Armenia",2006,7700,"2008 to 2009","includes 1561 km of expressways","paved"
"Armenia",2006,7700,"2008 to 2009",NA,"total"
"Armenia",2008,7079,"2010 to 2011","includes 1561 km of expressways","paved"
"Armenia",2008,8888,"2010 to 2011",NA,"total"
"Armenia",2008,1809,"2010 to 2011",NA,"unpaved"
"Armenia",2012,7705,"2012 to 2014",NA,"total"
"Armenia",2013,7792,"2015 to 2018",NA,"total"
"Armenia",2014,7700,"2019",NA,"total"
"Armenia",2019,7700,"2020 to 2023",NA,"total"
"Aruba",2010,1000,"2019 to 2023",NA,"total"
"Aruba",NA,513,"2006 to 2007",NA,"paved"
"Aruba",NA,800,"2006 to 2007",NA,"total"
"Aruba",NA,287,"2006 to 2007",NA,"unpaved"
"Australia",2004,336962,"2006 to 2007",NA,"paved"
"Australia",2004,341448,"2008 to 2010",NA,"paved"
"Australia",2004,810641,"2006 to 2007",NA,"total"
"Australia",2004,812972,"2008 to 2010",NA,"total"
"Australia",2004,473679,"2006 to 2007",NA,"unpaved"
"Australia",2004,471524,"2008 to 2010",NA,"unpaved"
"Australia",2008,818356,"2011",NA,"total"
"Australia",2011,356343,"2012 to 2017",NA,"paved"
"Australia",2011,823217,"2012 to 2017",NA,"total"
"Australia",2011,466874,"2012 to 2017",NA,"unpaved"
"Australia",2015,873573,"2018 to 2023",NA,"total"
"Austria",2003,133718,"2006 to 2007","including 1677 km of expressways","paved"
"Austria",2003,133718,"2006 to 2007","includes 1677 km of expressways","paved"
"Austria",2003,133718,"2006 to 2007",NA,"total"
"Austria",2006,107262,"2008 to 2010","includes 1677 km of expressways","paved"
"Austria",2006,107262,"2008 to 2010","includes 1696 km of expressways","paved"
"Austria",2006,107262,"2008 to 2010",NA,"total"
"Austria",2008,110778,"2011","includes 1696 km of expressways","paved"
"Austria",2008,110778,"2011",NA,"total"
"Austria",2012,124508,"2012 to 2015","includes 1719 km of expressways","paved"
"Austria",2012,124508,"2012 to 2015",NA,"total"
"Austria",2016,133597,"2016","includes 2207 km of expressways","paved"
"Austria",2016,138696,"2017 to 2018","includes 2208 km of expressways","paved"
"Austria",2016,138696,"2017 to 2018",NA,"paved"
"Austria",2016,133597,"2016",NA,"total"
"Austria",2016,138696,"2017 to 2018",NA,"total"
"Austria",2018,137039,"2019 to 2023",NA,"paved"
"Austria",2018,137039,"2019 to 2023",NA,"total"
"Azerbaijan",2003,12698,"2006","including 128 km of expressways","paved"
"Azerbaijan",2003,27016,"2006",NA,"total"
"Azerbaijan",2003,14318,"2006",NA,"unpaved"
"Azerbaijan",2004,29210,"2007 to 2010",NA,"paved"
"Azerbaijan",2004,59141,"2007 to 2010",NA,"total"
"Azerbaijan",2004,29931,"2007 to 2010",NA,"unpaved"
"Azerbaijan",2006,29210,"2011",NA,"paved"
"Azerbaijan",2006,26789,"2012 to 2018",NA,"paved"
"Azerbaijan",2006,59141,"2011",NA,"total"
"Azerbaijan",2006,52942,"2012 to 2018",NA,"total"
"Azerbaijan",2006,29931,"2011",NA,"unpaved"
"Azerbaijan",2006,26153,"2012 to 2018",NA,"unpaved"
"Azerbaijan",2013,24981,"2019 to 2023",NA,"total"
"Bahamas, The",1999,1546,"2006 to 2007",NA,"paved"
"Bahamas, The",1999,2693,"2006 to 2007",NA,"total"
"Bahamas, The",1999,1147,"2006 to 2007",NA,"unpaved"
"Bahamas, The",2002,1560,"2008 to 2012",NA,"paved"
"Bahamas, The",2002,2717,"2008 to 2012",NA,"total"
"Bahamas, The",2002,1133,"2008",NA,"unpaved"
"Bahamas, The",2002,1157,"2009 to 2012",NA,"unpaved"
"Bahamas, The",2011,1620,"2013 to 2023",NA,"paved"
"Bahamas, The",2011,2700,"2013 to 2023",NA,"total"
"Bahamas, The",2011,1080,"2013 to 2023",NA,"unpaved"
"Bahrain",2003,2768,"2006 to 2009",NA,"paved"
"Bahrain",2003,3498,"2006 to 2009",NA,"total"
"Bahrain",2003,730,"2006 to 2009",NA,"unpaved"
"Bahrain",2007,3121,"2010 to 2011",NA,"paved"
"Bahrain",2007,3851,"2010 to 2011",NA,"total"
"Bahrain",2007,730,"2010 to 2011",NA,"unpaved"
"Bahrain",2010,3392,"2012 to 2023",NA,"paved"
"Bahrain",2010,4122,"2012 to 2023",NA,"total"
"Bahrain",2010,730,"2012 to 2023",NA,"unpaved"
"Bangladesh",2003,22726,"2006 to 2011",NA,"paved"
"Bangladesh",2003,239226,"2006 to 2011",NA,"total"
"Bangladesh",2003,216500,"2006 to 2011",NA,"unpaved"
"Bangladesh",2010,1063,"2012 to 2014",NA,"paved"
"Bangladesh",2010,2021,"2015 to 2018",NA,"paved"
"Bangladesh",2010,21269,"2012 to 2018",NA,"total"
"Bangladesh",2010,20206,"2012 to 2014",NA,"unpaved"
"Bangladesh",2010,19248,"2015 to 2018",NA,"unpaved"
"Bangladesh",2018,110311,"2019 to 2023",NA,"paved"
"Bangladesh",2018,369105,"2019 to 2023",NA,"total"
"Bangladesh",2018,258794,"2019 to 2023",NA,"unpaved"
"Barbados",2003,1600,"2006",NA,"paved"
"Barbados",2003,1600,"2006",NA,"total"
"Barbados",2004,1600,"2007 to 2012",NA,"paved"
"Barbados",2004,1600,"2007 to 2012",NA,"total"
"Barbados",2011,1600,"2013 to 2016",NA,"paved"
"Barbados",2011,1600,"2013 to 2016",NA,"total"
