"country","year","paved","paved.note","paved.source","unpaved","unpaved.note","unpaved.source","total","total.note","total.source","paved.ratio","land_area_sqkm","population","road_length_per_sqkm","road_length_per_capita"
"Afghanistan",2003,8231,NA,"CIA World Factbook (2006)",26558,NA,"CIA World Factbook (2006)",34789,NA,"CIA World Factbook (2006)",23.6597775158815,652230,22645130,0.0533385462183586,0.00153626850453055
"Afghanistan",2004,8229,NA,"CIA World Factbook (2007)",26553,NA,"CIA World Factbook (2007)",34782,NA,"CIA World Factbook (2007)",23.658789028808,652230,23553551,0.0533278138080125,0.00147672000710211
"Afghanistan",2005,10289.5,NA,"linear interpolation",28176.5,NA,"linear interpolation",38466,NA,"linear interpolation",26.7495970467426,652230,24411191,0.0589761280529874,0.00157575269473743
"Afghanistan",2006,12350,NA,"CIA World Factbook (2008 to 2018)",29800,NA,"CIA World Factbook (2008 to 2018)",42150,NA,"CIA World Factbook (2008 to 2018)",29.300118623962,652230,25442944,0.0646244422979624,0.0016566479099274
"Afghanistan",2007,12854.8181818182,NA,"linear interpolation",28636.3636363636,NA,"linear interpolation",41491.1818181818,NA,"linear interpolation",30.9820487595393,652230,25903301,0.0636143412878614,0.00160177198335385
"Afghanistan",2008,13359.6363636364,NA,"linear interpolation",27472.7272727273,NA,"linear interpolation",40832.3636363636,NA,"linear interpolation",32.7182537915557,652230,26427199,0.0626042402777604,0.00154508858984123
"Afghanistan",2009,13864.4545454545,NA,"linear interpolation",26309.0909090909,NA,"linear interpolation",40173.5454545455,NA,"linear interpolation",34.5114039315787,652230,27385307,0.0615941392676593,0.00146697444197158
"Afghanistan",2010,14369.2727272727,NA,"linear interpolation",25145.4545454545,NA,"linear interpolation",39514.7272727273,NA,"linear interpolation",36.3643474699882,652230,28189672,0.0605840382575583,0.00140174484019279
"Afghanistan",2011,14874.0909090909,NA,"linear interpolation",23981.8181818182,NA,"linear interpolation",38855.9090909091,NA,"linear interpolation",38.2801258729806,652230,29249157,0.0595739372474573,0.00132844543488584
"Afghanistan",2012,15378.9090909091,NA,"linear interpolation",22818.1818181818,NA,"linear interpolation",38197.0909090909,NA,"linear interpolation",40.2619904419185,652230,30466479,0.0585638362373563,0.00125374155999749
"Afghanistan",2013,15883.7272727273,NA,"linear interpolation",21654.5454545455,NA,"linear interpolation",37538.2727272727,NA,"linear interpolation",42.3134207269671,652230,31541209,0.0575537352272553,0.0011901342376341
"Afghanistan",2014,16388.5454545455,NA,"linear interpolation",20490.9090909091,NA,"linear interpolation",36879.4545454545,NA,"linear interpolation",44.4381449143894,652230,32716210,0.0565436342171543,0.00112725326513843
"Afghanistan",2015,16893.3636363636,NA,"linear interpolation",19327.2727272727,NA,"linear interpolation",36220.6363636364,NA,"linear interpolation",46.6401624387905,652230,33753499,0.0555335332070533,0.0010730927885028
"Afghanistan",2016,17398.1818181818,NA,"linear interpolation",18163.6363636364,NA,"linear interpolation",35561.8181818182,NA,"linear interpolation",48.9237691088501,652230,34636207,0.0545234321969523,0.00102672380326801
"Afghanistan",2017,17903,NA,"CIA World Factbook (2019 to 2023)",17000,NA,"CIA World Factbook (2019 to 2023)",34903,NA,"CIA World Factbook (2019 to 2023)",51.2935850786465,652230,35643418,0.0535133311868513,0.000979227076370734
"Albania",2002,7020,NA,"CIA World Factbook (2006 to 2018)",10980,NA,"CIA World Factbook (2006 to 2018)",18000,NA,"CIA World Factbook (2006 to 2018)",39,27400,3051010,0.656934306569343,0.0058996856778575
"Albania",2003,NA,NA,NA,NA,NA,NA,17121.5625,NA,"linear interpolation",NA,27400,3039616,0.62487454379562,0.00563280443977134
"Albania",2004,NA,NA,NA,NA,NA,NA,16243.125,NA,"linear interpolation",NA,27400,3026939,0.592814781021898,0.00536618841674708
"Albania",2005,NA,NA,NA,NA,NA,NA,15364.6875,NA,"linear interpolation",NA,27400,3011487,0.560755018248175,0.00510202683923258
"Albania",2006,NA,NA,NA,NA,NA,NA,14486.25,NA,"linear interpolation",NA,27400,2992547,0.528695255474453,0.00484077610142798
"Albania",2007,NA,NA,NA,NA,NA,NA,13607.8125,NA,"linear interpolation",NA,27400,2970017,0.49663549270073,0.0045817288251212
